,LSOA,LSOA Name,IMDDecile,IMDRank,Healthfulness (Median),Daily Opening Hours,Vehicle Accessibility
354,E01006994,,,,0.4,12.857142857142858,
355,E01007006,,,,0.4,12.857142857142858,
356,E01007007,,,,1.75,16.0,
357,E01007009,,,,-0.6,8.571428571428571,
358,E01007014,,,,-1.0,14.714285714285714,
359,E01007016,,,,0.4,12.857142857142858,
360,E01007019,,,,-0.6,0.0,
361,E01007021,,,,1.75,10.285714285714286,
362,E01007032,,,,0.8,15.0,
363,E01007037,,,,0.4,12.857142857142858,
364,E01007041,,,,1.75,11.0,
365,E01007042,,,,-1.0,9.0,
366,E01007049,,,,1.75,13.714285714285714,
367,E01007063,,,,0.8,16.0,
368,E01007066,,,,0.4,12.857142857142858,
369,E01007072,,,,1.75,13.714285714285714,
370,E01007079,,,,,15.0,
371,E01007081,,,,,8.142857142857142,
372,E01007082,,,,0.575,13.428571428571429,
373,E01007088,,,,-0.2,10.285714285714286,
374,E01007095,,,,-0.8,6.714285714285714,
375,E01007097,,,,0.8,12.214285714285715,
376,E01007102,,,,,17.0,
377,E01007109,,,,0.8,16.0,
378,E01007111,,,,1.75,14.428571428571429,
379,E01007116,,,,0.8,15.0,
380,E01007121,,,,1.75,12.857142857142858,
381,E01007122,,,,1.75,13.714285714285714,
382,E01007128,,,,0.375,14.857142857142858,
383,E01007135,,,,0.8,15.285714285714286,
384,E01007139,,,,-1.0,0.0,
385,E01007141,,,,0.4,12.857142857142858,
386,E01007142,,,,0.4,12.857142857142858,
387,E01007143,,,,1.75,10.285714285714286,
388,E01007151,,,,0.8,15.0,
389,E01007152,,,,-1.0,15.857142857142858,
390,E01007156,,,,0.8,16.0,
391,E01007161,,,,0.8,13.714285714285714,
392,E01007164,,,,-0.6,15.0,
393,E01007170,,,,0.8,15.0,
394,E01007181,,,,-0.09999999999999998,14.5,
395,E01007182,,,,0.4,12.857142857142858,
396,E01007184,,,,0.8,16.0,
397,E01007193,,,,0.8,14.0,
398,E01007196,,,,1.075,13.285714285714285,
399,E01007202,,,,0.8,15.0,
400,E01007208,,,,0.4,12.857142857142858,
401,E01007214,,,,-0.8,7.714285714285714,
402,E01007215,,,,0.8,17.0,
403,E01007217,,,,0.8,16.0,
404,E01007237,,,,1.75,13.714285714285714,
405,E01007239,,,,0.4,12.857142857142858,
406,E01007243,,,,1.75,12.857142857142858,
407,E01007245,,,,0.4,12.857142857142858,
408,E01007258,,,,0.8,15.0,
409,E01007270,,,,0.8,17.0,
410,E01007277,,,,-1.0,12.857142857142858,
411,E01007287,,,,0.8,15.0,
412,E01007291,,,,-0.7,17.92857142857143,
413,E01007292,,,,0.8,15.0,
414,E01007293,,,,0.4,12.857142857142858,
415,E01007302,,,,-0.6,14.571428571428571,
416,E01007303,,,,0.8,15.0,
417,E01007306,,,,0.8,15.0,
418,E01007309,,,,0.4,12.857142857142858,
419,E01007313,,,,-0.6,13.142857142857142,
